pathway_id,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
pathways_593,R15,entrance_609,42,
pathways_594,entrance_610,724,69,
pathways_595,724,entrance_610,69,
pathways_596,entrance_610,D16,53,
pathways_597,D16,entrance_610,53,
pathways_598,entrance_611,724,59,
pathways_599,724,entrance_611,59,
pathways_600,entrance_611,D16,41,
pathways_601,D16,entrance_611,41,
pathways_602,entrance_612,633,34,
pathways_603,633,entrance_612,34,
pathways_604,entrance_613,R15,44,
pathways_605,R15,entrance_613,44,
pathways_606,entrance_614,126,38,
pathways_607,126,entrance_614,38,
pathways_608,entrance_615,633,36,
pathways_609,633,entrance_615,36,
pathways_610,entrance_616,633,35,
pathways_611,633,entrance_616,35,
pathways_612,entrance_617,126,36,
pathways_613,126,entrance_617,36,
pathways_614,entrance_618,633,37,
pathways_615,633,entrance_618,37,
pathways_616,entrance_619,724,59,
pathways_617,724,entrance_619,59,
pathways_618,entrance_619,D16,46,
pathways_619,D16,entrance_619,46,
pathways_620,entrance_620,R15,40,
pathways_621,R15,entrance_620,40,
pathways_622,entrance_621,126,42,
pathways_623,126,entrance_621,42,
pathways_624,entrance_622,R15,44,
pathways_625,R15,entrance_622,44,
pathways_626,entrance_623,126,41,
pathways_627,126,entrance_623,41,
pathways_628,entrance_624,125,65,
pathways_629,125,entrance_624,65,
pathways_630,entrance_624,A24,67,
pathways_631,A24,entrance_624,67,
pathways_632,entrance_625,724,45,
pathways_633,724,entrance_625,45,
pathways_634,entrance_625,D16,45,
pathways_635,D16,entrance_625,45,
pathways_636,entrance_625,724,49,
pathways_637,724,entrance_625,49,
pathways_638,entrance_625,D16,49,
pathways_639,D16,entrance_625,49,
pathways_640,entrance_626,125,59,
pathways_641,125,entrance_626,59,
pathways_642,entrance_626,A24,61,
pathways_643,A24,entrance_626,61,
pathways_644,entrance_627,724,43,
pathways_645,724,entrance_627,43,
pathways_646,entrance_627,D16,43,
pathways_647,D16,entrance_627,43,
pathways_648,entrance_627,724,51,
pathways_649,724,entrance_627,51,
pathways_650,entrance_627,D16,51,
pathways_651,D16,entrance_627,51,
pathways_652,entrance_628,125,67,
pathways_653,125,entrance_628,67,
pathways_654,entrance_628,A24,69,
pathways_655,A24,entrance_628,69,
pathways_656,entrance_641,G20,34,
pathways_657,G20,entrance_641,34,
pathways_658,entrance_660,128,44,
pathways_659,128,entrance_660,44,
pathways_660,entrance_660,A28,83,
pathways_661,A28,entrance_660,83,
pathways_662,entrance_661,128,44,
pathways_663,128,entrance_661,44,
pathways_664,entrance_661,A28,65,
pathways_665,A28,entrance_661,65,
pathways_666,entrance_662,128,33,
pathways_667,128,entrance_662,33,
pathways_668,entrance_662,A28,74,
pathways_669,A28,entrance_662,74,
pathways_670,entrance_663,128,44,
pathways_671,128,entrance_663,44,
pathways_672,entrance_663,A28,89,
pathways_673,A28,entrance_663,89,
pathways_674,entrance_664,127,77,
pathways_675,127,entrance_664,77,
pathways_676,entrance_664,725,73,
pathways_677,725,entrance_664,73,
pathways_678,entrance_664,902,91,
pathways_679,902,entrance_664,91,
pathways_680,entrance_664,A27,60,
pathways_681,A27,entrance_664,60,
pathways_682,entrance_664,R16,90,
pathways_683,R16,entrance_664,90,
pathways_684,entrance_665,128,42,
pathways_685,128,entrance_665,42,
pathways_686,entrance_665,A28,70,
pathways_687,A28,entrance_665,70,
pathways_688,entrance_666,127,76,
pathways_689,127,entrance_666,76,
pathways_690,entrance_666,725,72,
pathways_691,725,entrance_666,72,
pathways_692,entrance_666,902,89,
pathways_693,902,entrance_666,89,
pathways_694,entrance_666,A27,57,
pathways_695,A27,entrance_666,57,
pathways_696,entrance_666,R16,89,
pathways_697,R16,entrance_666,89,
pathways_698,entrance_667,128,32,
